Date;Nb;Indiv;Species;Paire;Essai;Heure;Zone_T;Zone_B;Touche_T;Touche_B;Coucou;Dummy_T;Dummy_B;Dummy_BB;Paires;App_conspe;App_non_conspe;Touch_conspe;Touch_non_conspe
13/03/2023;43;361;bristowi;1;3;10:44;1;5;0;3;NA;2;1;2;1;5;1;3;0
14/03/2023;44;363;bristowi;1;1;11:05;1;0;0;0;NA;2;2;2;1;0;1;0;0
14/03/2023;45;385;bristowi;1;1;10:53;1;0;0;0;NA;2;2;2;1;0;1;0;0
14/03/2023;46;389;bristowi;1;1;11:16;4;2;0;0;NA;2;2;2;1;2;4;0;0
14/03/2023;47;386;bristowi;1;1;10:42;2;5;0;0;NA;2;2;2;1;5;2;0;0
14/03/2023;48;388;bristowi;1;1;11:27;1;2;0;0;NA;2;2;2;1;2;1;0;0
14/03/2023;49;387;bristowi;1;1;11:38;2;12;0;0;NA;2;2;2;1;12;2;0;0
15/03/2023;49;387;bristowi;1;2;10:16;19;26;0;1;NA;2;2;2;1;26;19;1;0
16/03/2023;49;387;bristowi;1;3;09:33;6;16;0;3;NA;2;2;2;1;16;6;3;0
14/03/2023;50;364;bristowi;1;1;10:30;0;1;0;1;NA;2;2;2;1;1;0;1;0
15/03/2023;50;364;bristowi;1;2;10:05;2;4;1;1;NA;2;2;2;1;4;2;1;1
16/03/2023;50;364;bristowi;1;3;09:57;3;4;0;1;NA;2;2;2;1;4;3;1;0
16/03/2023;51;421;bristowi;1;1;09:12;0;0;0;0;NA;2;2;2;1;0;0;0;0
17/03/2023;51;421;bristowi;1;1;11:04;3;7;0;1;NA;2;2;2;1;7;3;1;0
18/03/2023;51;421;bristowi;1;1;09:48;0;3;0;0;NA;2;2;2;1;3;0;0;0
16/03/2023;52;411;bristowi;1;1;09:22;3;2;0;0;NA;2;2;2;1;2;3;0;0
17/03/2023;52;411;bristowi;1;2;10:40;5;2;0;0;NA;2;2;2;1;2;5;0;0
16/03/2023;53;422;bristowi;1;1;09:45;13;17;2;6;NA;2;2;2;1;17;13;6;2
17/03/2023;53;422;bristowi;1;2;11:39;2;9;1;2;NA;2;2;2;1;9;2;2;1
18/03/2023;53;422;bristowi;1;3;09:59;3;3;1;0;NA;2;2;2;1;3;3;0;1
16/03/2023;54;408;bristowi;1;1;10:08;5;11;0;3;NA;2;2;2;1;11;5;3;0
17/03/2023;54;408;bristowi;1;2;10:31;1;5;0;0;NA;2;2;2;1;5;1;0;0
