row ID;row m/z;row retention time;HF_G_82;HF_G_182;HF_G_174;HF_G_201;HF_G_100;HF_G_X2;HF_G_184;HF_G_196;HF_G_170;HF_G_195;AF_G_191;AF_G_X5;AF_G_193;AF_G_X1;AF_G_187;AF_G_X2;AF_G_X6;AF_G_120;AF_G_X4;AF_G_070;AF_G_X3;AF_G_178;AM_G_180;AM_G_175;AM_G_194;AM_G_189;AM_G_165;AM_G_167;AM_G_192;AM_G_155;AM_G_163;AM_G_181;AM_G_164;HM_G_150;HM_G_112;HM_G_162;HM_G_119;HM_G_103;HM_G_158;HM_G_172;HM_G_159;HM_G_169;HM_G_005;3;5;1;2;4
31;44,06340323;21,25636045;0;4052692,193;3747988,999;0;0;0;0;4030108,387;4736438,024;4332940,531;0;4843124,551;2080118,897;4195226,623;0;5029784,612;0;0;0;0;0;0;0;0;0;8199607,522;0;0;0,00E+00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1974,223941;0;0;0;0
32;207,0757584;30,49501156;1250028,845;5909262,14;2495553,941;1,61E+07;165493,6274;768028,7368;2032660,194;1945296,916;4991021,898;174269,1855;4454,710419;6996,591044;96015,79695;309705,2309;149643,7886;430995,4496;112799,0419;98344,72068;149759,3294;449892,2991;135793,1295;36314,0443;45735,18596;46247,2164;145706,0249;395243,7622;122767,7192;113631,6545;619197,7305;97379,98409;506376,7709;254253,9455;5647,537698;9903755,149;2,09E+07;8780268,917;2,04E+07;2,10E+07;1359612,789;2,52E+07;3,33E+07;2,96E+07;2,67E+07;0;0;0;0;0
34;207,0735067;31,57604085;355129,7248;261742,0856;673126,5716;191694,3839;175782,8899;112771,6905;395579,5306;164468,6811;257576,4696;268169,729;1603659,543;2109663,392;1777357,907;3750222,832;2047806,211;1754961,751;2656320,97;1440380,733;4953559,394;8474996,336;5075022,612;230823,0778;1,22E+07;4197400,269;2900234,438;1005441,217;1521190,02;8829560,138;3839056,554;336885,295;5,01E+07;1,07E+07;5386516,95;191543,7495;236898,6977;321944,3828;134336,9411;783,8973524;309238,955;177280,449;239378,3351;229319,5429;519072,3097;0;0;0;0;0
35;44,01199631;27,75632321;9863,338665;8498,60791;85679,43867;5816,149532;3098,102177;5880,424825;266099,774;10804,7052;5354,92622;208746,9046;65385,69117;611350,741;3707418,746;114718,2023;2077349,876;4169030,133;776668,7905;1525162,68;7079,41515;2395998,865;4931,42478;2781964,322;223385,406;32093,79074;281076,8286;5351320,314;2811963,185;471741,5428;1612454,022;3770885,419;75088,72016;246575,9514;223810,2304;11383,41424;710345,8778;933170,277;33645,02754;71885,10453;2171913,836;543478,1841;4701,548581;1704729,249;146116,184;0;0;0;0;0
41;43,0683238;13,75102199;8855139,17;3717433,88;3217142,109;7158605,006;2286155,094;3153274,134;4016187,82;1,21E+07;5784223,558;6411422,588;228084,8295;1061822,668;5659037,641;3469254,465;951588,9721;5682325,871;435209,7196;3677696,741;2842898,62;6105187,994;1846426,57;2816923,408;2,11E+07;9677338,62;4428334,511;1,33E+07;6329992,733;5615120,671;3,58E+07;3,79E+07;2,20E+07;2,04E+07;1,14E+07;4360127,008;2,03E+07;1,24E+07;1,33E+07;4569260,204;8487006,442;1,53E+07;8687165,913;1,04E+07;1,91E+07;2168,275267;0;10609,25933;1439,431134;0
42;44,00762204;21,41244508;2204697,981;2928628,952;1904621,333;1567641,362;2652201,977;3375854,105;4600649,151;1139735,042;518706,5054;4870115,603;2797779,341;2951992,154;2636408,912;2547908,813;1446647,808;4765579,45;1744386,312;2333189,142;4746167,953;5337499,203;1993565,084;1756190,91;269661,4523;682204,2279;2070183,64;328592,971;2712893,893;362980,8217;1961234,599;2029108,1;5601602,534;225118,472;29298,46714;97189,56981;217868,0504;270454,9164;1061501,886;291950,783;2464301,794;1607158,985;1775986,655;2079205,621;7422007,989;12134,18468;18731,1828;21232,61045;45748,07318;38368,42887
43;44,0076634;22,56961591;2731443,408;1754049,02;1165992,349;566617,7294;2342117,707;6182030,373;2206033,298;495506,3801;861013,9947;1744955,016;1632478,861;2183152,22;2006524,862;2285059,746;952441,0343;4255203,272;1505998,838;2104571,8;1417803,524;5242403,35;3549652,445;1283799,189;185047,3507;426181,5254;121050,8247;535358,5572;270481,4499;876521,6984;1461837,122;399146,0041;637747,64;601535,302;303016,7653;933769,0747;1397096,495;1669024,396;828803,0227;2505074,854;2554124,14;1741724,008;1384960,921;2386588,272;4479243,576;17005,8414;7715,416528;38785,83315;10797,87276;11304,16015
45;79,06744217;21,00808735;501241,8163;2314768,438;2076890,959;8483664,546;651319,6522;657590,7606;1363117,953;1742214,173;2756115,065;1581973,652;500880,6744;556875,7782;705368,2152;1658447,066;569761,335;388985,5372;1596725,444;2747,841266;517,2549673;1,47E+07;471465,2352;1096434,141;588817,4949;711952,6045;1229834,458;620643,9936;0;0;899999,4302;0;0;0;0;1128739,71;606970,1312;814872,0982;1464111,96;704003,5692;0;770687,8903;1599253,828;0;1064722,606;2712,340251;125,3688102;229,4780836;1926,641134;162,6720686
46;44,00595331;21,28690889;4267692,306;4187374,602;4757734,199;4364014,511;3356553,106;7379874,995;3383555,5;3993813,859;4802806,004;5852379,064;2096985,548;4496380,369;3669049,112;5461876,348;2119281,015;4944642,311;4131676,526;1765602,42;4886744,853;8988123,059;5124801,377;2518927,962;1,02E+07;1,47E+07;9854656,201;1,15E+07;9686359,348;1,26E+07;1,32E+07;1,02E+07;1,31E+07;1,52E+07;9344353,111;1,10E+07;6456236,437;1,70E+07;1,03E+07;5963081,089;2,22E+07;1,95E+07;1,35E+07;2,13E+07;2,56E+07;47262,37975;18406,84474;19606,57546;23295,68637;18201,93565
47;44,00599946;23,74852005;1,04E+07;4462940,655;4381214,851;6703141,497;5095218,722;1,41E+07;4265041,856;6550900,533;5970965,204;6913902,4;1879984,553;4396404,343;4569656,074;5887856,428;1296145,858;7831429,606;4298644,88;2871051,841;5828990,188;1,51E+07;6361345,053;1427457,524;2,08E+07;2,19E+07;1,98E+07;2,25E+07;1,86E+07;2,45E+07;2,13E+07;1,65E+07;2,41E+07;2,44E+07;1,59E+07;1,35E+07;1,45E+07;2,36E+07;1,56E+07;1,47E+07;2,84E+07;2,04E+07;1,97E+07;1,90E+07;2,37E+07;27618,14359;53632,93402;14290,11922;19450,06049;11511,59367
