row ID;row m/z;row retention time;AF_G_X6_C8;AF_G_187_C8;AF_G_193_C8;AF_G_X5_C8;AF_G_191_C8;AF_G_070_C8;AF_G_X3_C8;AF_G_X4_C8;AF_G_178_C8;AM_G_155_C8;AM_G_194_C8;AM_G_175_C8;AM_G_165_C8;AM_G_180_C8;AM_G_189_C8;AM_G_163_C8;AM_G_167_C8;AM_G_181_C8;HM_G_150_C8;HM_G_169_C8;HM_G_162_C8;HM_G_112_C8;HM_G_X1_C8;HM_G_158_C8;HM_G_159_C8;HM_G_172_C8;HM_G_005_C8;HF_G_195_C8;HF_G_196_C8;HF_G_182_C8;HF_G_201_C8;HF_G_184_C8;HF_G_100_C8;HF_G_170_C8;HF_G_X2_C8;HF_G_082_C8;1_C8;2_C8
93;55,1;22,73;377230,7193;131716,1125;274771,2298;301694,0767;643316,5844;560094,8577;565104,1081;357786,7723;786782,7746;544312,4613;523604,1199;361059,9205;410001,112;1014455,427;422457,1151;148479,0115;364964,5332;256034,0628;1,97E+07;2,27E+07;1,23E+07;3,20E+07;1,63E+07;7,66E+07;7,06E+07;1,07E+08;1,06E+08;6201,602949;109813,0601;623105,2165;1370499,065;2585924,049;734837,5964;2670710,438;5744077,857;4191333,251;420105,4469;564807,4063
94;74;17,18;2400,123303;1040,595308;5622,362033;13387,47813;2914,428281;15384,61186;3542,763485;2741,921716;14248,10765;1330,793579;4623,999668;1621,531114;9746,67203;13009,90458;1894,906709;981,0335971;2009,1953;1123,27261;138486,4952;4,97E+07;6976058,233;357666,2523;193475,6443;1,00E+07;4,34E+07;4,59E+07;2,25E+07;123,0166858;30072,73447;5030,061709;30105,21316;36297,92355;735562,9061;158187,9746;139132,046;8174818,923;11823,46145;16991,70232
95;44;25,94;164549,4347;0;640420,105;549503,0871;177324,2904;579642,7213;93596,55218;191205,9863;0;0;126359,1031;148323,5196;75473,5107;0;131331,297;508120,0754;107104,8703;85584,06354;1335539,219;6132802,882;2619704,864;2230548,542;1,13E+07;5558574,447;1,42E+07;0,00E+00;3855550,712;61562,05762;0;219296,1522;937284,4482;1400986,407;0;3209461,116;2113420,028;587040,9755;0;114566,5477
96;68,1;24,02;8271,321569;3369,847291;16654,02054;19208,96571;14786,61647;124959,7768;13482,42225;12025,44758;34895,12854;195813,05;108371,766;24876,40682;62356,68048;350075,048;24795,85488;13473,17655;16245,79046;31166,49479;2,75E+08;7,29E+07;4,24E+07;2,16E+08;6,85E+07;3,30E+08;5,43E+08;0,00E+00;7,32E+08;936,0814482;1679,452137;5083,301819;29138,90868;15018,15369;67936,26352;163205,7548;423362,3488;172111,2918;7948,983422;4688,885919
98;43,1;4,63;3,40E+08;3,22E+08;2,29E+08;2,76E+08;2,81E+08;2,18E+08;3,04E+08;3,19E+08;1,67E+08;2,66E+08;3,68E+08;2,34E+08;2,39E+08;8,27E+07;1,63E+08;2,01E+08;1,54E+08;2,27E+08;2,02E+08;0,00E+00;3,24E+08;2,04E+08;3,44E+08;4,34E+08;1,07E+08;5,92E+09;1,80E+08;0;0,00E+00;4,26E+08;4,30E+08;4,74E+08;4,59E+08;1,90E+08;3,14E+08;2,23E+08;2,89E+08;3,14E+08
99;49;4,69;1,08E+08;8,75E+07;1,24E+08;1,15E+08;1,10E+08;9,77E+07;1,11E+08;1,05E+08;8,95E+07;1,13E+08;1,19E+08;1,08E+08;1,11E+08;9,10E+07;1,15E+08;1,27E+08;1,15E+08;1,20E+08;8,35E+07;0,00E+00;1,01E+08;8,01E+07;1,11E+08;1,00E+08;8,02E+07;6,19E+07;7,53E+07;4647126,988;0,00E+00;1,03E+08;8,66E+07;8,48E+07;4,16E+07;6,93E+07;6,07E+07;5,94E+07;1,11E+08;1,10E+08
100;57,1;15,93;86906,27929;63084,95733;88561,21634;104312,0228;160638,9767;133804,1062;112204,1483;70474,83629;180384,5287;174721,8488;200597,0598;310502,1205;359205,1736;539633,7942;250032,8523;80370,72888;131405,334;71684,16642;201686,3707;74523,06265;248543,9185;656891,2499;623739,199;1257891,209;457501,322;4149235,114;1,42E+08;7753,659864;40719,91157;222294,3347;366812,2244;730225,731;1,81E+07;544795,5935;1308803,443;1,31E+08;130389,3205;168498,4036
102;57,1;17,01;192,9197214;186,572281;74,0297539;72,09316864;19312,8913;212299,4243;1178,149916;640,509725;61404,58436;998,7591558;113583,0221;21342,28339;31862,96809;913,6811264;10237,46143;8701,920706;0;100,8629573;188032,5729;24,39262403;240615,4026;257615,2326;44783,35219;0,00E+00;113850,7696;0,00E+00;3,77E+07;593,6346047;16295,18268;26,87759262;0;215142,77;5299392,543;2259,643301;0;3,90E+07;11,70255986;74,17782296
103;57,1;17,22;499546,6918;229561,5075;39179,28522;1720593,504;28240,61884;113937,8507;34017,00608;532311,1661;80393,08301;21626,97243;40932,07508;484627,431;24277,81647;42172,37901;716180,4117;188732,7411;397472,025;433932,604;1455647,797;490850,019;1362249,805;4405043,621;1,70E+07;770836,1106;4962085,198;1,53E+07;1,19E+09;50213,76452;529180,7187;1031378,022;2192069,348;285295,8397;4,44E+08;6785882,045;7212481,373;1,22E+09;908749,1579;902319,9859
104;57,1;17,87;14610,88271;1049,505025;1779,616381;5487,651941;6571,834735;18934,49184;28430,13008;2296,949152;9398,866668;14333,45261;10969,64162;3626,48595;8844,207824;10941,74884;4414,859637;18908,52331;17962,34098;146745,6127;15157,91307;14342,55055;24367,2135;43593,70397;598213,6544;184127,5641;781,8482796;520413,77;9,11E+07;2163,211118;5042,615996;1192,524799;128512,5295;44677,46348;1,03E+07;2730,347077;9114,977133;8,74E+07;4339,17273;3260,465835
